Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
4930,EUST,European Starling,"2, 3, 2A",Étourneau sansonnet,Sturnus vulgaris,,,901
4931,CRMY,Crested Myna,"3, 2",Martin huppé,Acridotheres cristatellus,,,902
4932,COMY,Common Myna,"3A, 3B, 3",Martin triste,Acridotheres tristis,,,905
4933,JAMY,Javan Myna,"1A, 2, 1D",Martin à ventre blanc,Acridotheres javanicus,,,903
4934,HIMY,Hill Myna,3,Mainate religieux,Gracula religiosa,,,906
4935,JUMY,Jungle Myna,"3B, 3",Martin forestier,Acridotheres fuscus,,,904
4940,BOBO,Bobolink,"M: 1A, 1B",Goglu des prés,Dolichonyx oryzivorus,Alberta,,1115
,,,"F: 1B, 1A",,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4950,BHCO,Brown-headed Cowbird,"M: 1A, 1D, 2, 1B",Vacher à tête brune,Molothrus ater,,,1133
,,,"F: 1B, 1A, 1D",,,,,
4960,BROC,Bronzed Cowbird,"M: 2, 1D",Vacher bronzé,Molothrus aeneus,,,1132
,,,"F: 1A, 1D",,,,,
4961,SHCO,Shiny Cowbird,"2, 1D, 1A",Vacher luisant,Molothrus bonariensis,,,1131
4970,YHBL,Yellow-headed Blackbird,"M: 2, 3, 1D",Carouge à tête jaune,Xanthocephalus xanthocephalus,,,1124
,,,"F: 1A, 1D, 2",,,,,
4980,RWBL,Red-winged Blackbird,"M: 2, 1D",Carouge à épaulettes,Agelaius phoeniceus,,,1116
,,,"F: 1A, 1D",,,,,
5000,TRBL,Tricolored Blackbird,"2, 2A, 1D",Carouge de Californie,Agelaius tricolor,,,1117
5001,TSBL,Tawny-shouldered Blackbird,"1B, 1A",Petit Carouge,Agelaius humeralis,,,1118
5002,YSBL,Yellow-shouldered Blackbird,2,Carouge de Porto Rico,Agelaius xanthomus,Y,,1119
5010,EAME,Eastern Meadowlark,M: 3,Sturnelle des prés,Sturnella magna,New Brunswick,,1120
,,,"F: 2, 3",,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
5011,WEME,Western Meadowlark,M: 3,Sturnelle de l'Ouest,Sturnella neglecta,,,1121
,,,"F: 2, 3",,,,,
5012,EWME,Eastern/Western Meadowlark,M: 3,Sturnelle des prés/de l'Ouest,,,,1122
,,,"F: 2, 3",,,,,
5013,CHME,Chihuahuan Meadowlark,M: 3,Sturnelle de Lilian,Sturnella lilianae,,"From Meadowlark Split, AOS 63rd Supplement (2022)",1123
,,,"F: 2, 3",,,,,
5030,AUOR,Audubon's Oriole,2,Oriole d'Audubon,Icterus graduacauda,,,1149
5031,ALOR,Altamira Oriole,3,Oriole à gros bec,Icterus gularis,,,1148
5032,SPOO,Spot-breasted Oriole,2,Oriole maculé,Icterus pectoralis,,,1147
5040,SCOR,Scott's Oriole,1A,Oriole jaune-verdâtre,Icterus parisorum,,,1151
5041,BVOR,Black-vented Oriole,2,Oriole cul-noir,Icterus wagleri,,,1138
5042,BCOR,Black-cowled Oriole,"1A, 1D, 2",Oriole monacal,Icterus prosthemelas,,,1139
5043,CUOR,Cuban Oriole,"1A, 1D, 2",Oriole de Cuba,Icterus melanopsis,,,1135
5044,BAHO,Bahama Oriole,"1A, 1D, 2",Oriole des Bahamas,Icterus northropi,,,1134
5045,PROR,Puerto Rican Oriole,"1A, 1D, 2",Oriole de Porto Rico,Icterus portoricensis,,,1137
5046,HIOR,Hispaniolan Oriole,"1A, 1D, 2",Oriole d'Hispaniola,Icterus dominicensis,,,1136
5050,HOOR,Hooded Oriole,"1A, 1B",Oriole masqué,Icterus cucullatus,,,1141
5051,STRO,Streak-backed Oriole,1A,Oriole à dos rayé,Icterus pustulatus,,,1143
5060,OROR,Orchard Oriole,1B,Oriole des vergers,Icterus spurius,,,1140
5070,BAOR,Baltimore Oriole,"1A, 1B, 1D",Oriole de Baltimore,Icterus galbula,,,1150
5078,BBOH,Baltimore X Bullock's Oriole Hybrid,1A,Hybride d'Oriole de Bullock et d'Oriole de Baltimore,,,,1145
5080,BUOR,Bullock's Oriole,"1A, 1B, 1D",Oriole de Bullock,Icterus bullockii,,,1144
5090,RUBL,Rusty Blackbird,"2, 1D",Quiscale rouilleux,Euphagus carolinus,,,1125
5100,BRBL,Brewer's Blackbird,"2, 1D",Quiscale de Brewer,Euphagus cyanocephalus,,,1126
5110,COGR,Common Grackle,"M: 3, 3B",Quiscale bronzé,Quiscalus quiscula,,,1127
,,,"F: 3, 2A",,,,,
5120,GTGR,Great-tailed Grackle,"M: 4, 3A",Quiscale à longue queue,Quiscalus mexicanus,,,1129
,,,"F: 3, 3B",,,,,
5130,BTGR,Boat-tailed Grackle,"M: 4, 3A",Quiscale des marais,Quiscalus major,,,1128
,,,"F: 3, 3B",,,,,
5131,GAGR,Greater Antillean Grackle,"3, 2",Quiscale noir,Quiscalus niger,,,1130
5140,EVGR,Evening Grosbeak,"1A, 2, 1D",Gros-bec errant,Coccothraustes vespertinus,,,1203
5141,BRAM,Brambling,"1B, 1, 1C",Pinson du Nord,Fringilla montifringilla,,,1153
5142,HAWF,Hawfinch,"1A, 2, 1D",Gros-bec casse-noyaux,Coccothraustes coccothraustes,,,1204
5143,COCH,Common Chaffinch,"1B, 1, 1C",Pinson des arbres,Fringilla coelebs,,,1152
5150,PIGR,Pine Grosbeak,"1A, 1D",Durbec des sapins,Pinicola enucleator,,,1159
5160,EUBU,Eurasian Bullfinch,"1B, 1A",Bouvreuil pivoine,Pyrrhula pyrrhula,,,1160
5161,CORO,Common Rosefinch,"1B, 1, 1C",Roselin cramoisi,Carpodacus erythrinus,,,1184
5170,PUFI,Purple Finch,"1, 1C, 1B",Roselin pourpré,Haemorhous purpureus,,,1186
5180,CAFI,Cassin's Finch,"1B, 1, 1C",Roselin de Cassin,Haemorhous cassinii,,,1187
5190,HOFI,House Finch,"1B, 1, 1C",Roselin familier,Haemorhous mexicanus,,,1185
5210,RECR,Red Crossbill,"1B, 1A",Bec-croisé des sapins,Loxia curvirostra,Newfoundland and Labrador,,1188
,,,,,,Québec,,
5211,CACR,Cassia Crossbill,"1A, 1D",,Loxia sinesciuris,,,1189
5220,WWCR,White-winged Crossbill,1B,Bec-croisé bifascié,Loxia leucoptera,,,1190
5240,GCRF,Gray-crowned Rosy-Finch,"1B, 1A, 1",Roselin à tête grise,Leucosticte tephrocotis,,,1156
5250,BLRF,Black Rosy-Finch,"1B, 1A, 1",Roselin noir,Leucosticte atrata,,,1157
5260,BCRF,Brown-capped Rosy-Finch,"1B, 1A, 1",Roselin à tête brune,Leucosticte australis,,,1158
5261,EUGO,European Goldfinch,0,Chardonneret élégant,Carduelis carduelis,,,1199
5262,ORGR,Oriental Greenfinch,"0, 1C, 1",Verdier de Chine,Chloris sinica,,,1200
5270,HORE,Hoary Redpoll,"0, 0A",Sizerin blanchâtre,Acanthis hornemanni,,,1192
5276,REDP,Redpoll,0,Sizerin,,,"From Hoary/Common Redpoll lump, AOS 65th Supplement (2024)",1193
5280,CORE,Common Redpoll,"0, 0A",Sizerin flammé,Acanthis flammea,,,1191
5290,AMGO,American Goldfinch,"0, 0A, 1C, 1",Chardonneret jaune,Spinus tristis,,,1198
5300,LEGO,Lesser Goldfinch,"0A, 0",Chardonneret mineur,Spinus psaltria,,,1196
5310,LAGO,Lawrence's Goldfinch,"0, 0A, 1C, 1",Chardonneret gris,Spinus lawrencei,,,1197
5321,RESI,Red Siskin,0,Chardonneret rouge,Spinus cucullatus,,,1195
5330,PISI,Pine Siskin,"0, 0A",Tarin des pins,Spinus pinus,,,1194
5331,COCA,Common Canary,"1, 1C",Serin des Canaries,Serinus canaria,,,1202
5332,YFCA,Yellow-fronted Canary,"0, 1",Serin du Mozambique,Crithagra mozambica,,,1201
5340,SNBU,Snow Bunting,"1A, 1B",Plectrophane des neiges,Plectrophenax nivalis,,,927
5350,MKBU,McKay's Bunting,"1B, 1A",Plectrophane blanc,Plectrophenax hyperboreus,,,928
5351,RUBU,Rustic Bunting,"1, 1C",Bruant rustique,Emberiza rustica,,,1093
5352,LIBU,Little Bunting,"1C, 1",Bruant nain,Emberiza pusilla,,,1092
5353,GRBU,Gray Bunting,1B,Bruant gris,Emberiza variabilis,,,1094
5354,PALB,Pallas's Bunting,"1, 1C",Bruant de Pallas,Emberiza pallasi,,,1095
5355,REBU,Reed Bunting,"1, 1C",Bruant des roseaux,Emberiza schoeniclus,,,1096
5360,LALO,Lapland Longspur,"1, 1B",Plectrophane lapon,Calcarius lapponicus,,,923
5370,SMLO,Smith's Longspur,"1, 1C",Plectrophane de Smith,Calcarius pictus,,,925
5380,CCLO,Chestnut-collared Longspur,"1, 1C",Plectrophane à ventre noir,Calcarius ornatus,Alberta,,924
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
5390,TBLO,Thick-billed Longspur,"1, 1C",Plectrophane à ventre gris,Rhynchophanes mccownii,Alberta,,926
,,,,,,Saskatchewan,,
5400,VESP,Vesper Sparrow,"1B, 1, 1C",Bruant vespéral,Pooecetes gramineus,British Columbia,,1046
5410,IPSP,Ipswich Sparrow,"1B, 1",Bruant d’Ipswich,Passerculus sandwichensis princeps,,,1056
5420,SAVS,Savannah Sparrow,"1, 1C, 0",Bruant des prés,Passerculus sandwichensis,,,1055
5430,BSSP,Belding's Savannah Sparrow,"1, 1C",Bruant des prés (Belding),Passerculus sandwichensis beldingi,,,1057
5440,LBSP,Large-billed Sparrow,"1, 1C",Bruant du Sonora,Passerculus sandwichensis rostratus,,,1058
5450,BAIS,Baird's Sparrow,"1, 1C",Bruant de Baird,Centronyx bairdii,,,1061
5460,GRSP,Grasshopper Sparrow,"1, 1C, 0",Bruant sauterelle,Ammodramus savannarum,,Includes all subspecies except A. s. floridanus. | Comprend toutes les sous-espèces autres que A. s. floridanus.,1059
5464,FGSP,Florida Grasshopper Sparrow,"1, 1C, 0",Bruant sauterelle forme de la Floride,Ammodramus savannarum floridanus,Y,,1060
5470,HESP,Henslow's Sparrow,"0, 1C, 1",Bruant de Henslow,Centronyx henslowii,Ontario,,1062
,,,,,,Québec,,
5480,LCSP,LeConte's Sparrow,"1, 1C, 0",Bruant de Le Conte,Ammospiza leconteii,,,1063
5490,SALS,Saltmarsh Sparrow,"1, 1B, 1C",Bruant à queue aiguë,Ammospiza caudacuta,,,1065
5491,NESP,Nelson's Sparrow,"1, 1B, 1C",Bruant de Nelson,Ammospiza nelsoni,,,1064
5499,USTP,Unidentified Sharp-tailed Sparrow,"1, 1B, 1C",Bruant à queue aiguë non-identifié,,,Unspecified Ammodramus caudacutus or A. nelsoni. Explain in Remarks why the unspecified code was chosen. | Ammodramus caudacutus ou A. nelsoni non spécifié. Expliquez dans les Remarques pourquoi le code non identifié a été choisi.,1066
5500,SESP,Seaside Sparrow,1B,Bruant maritime,Ammospiza maritima,,,1067
5510,DSSP,Dusky Seaside Sparrow,1B,Bruant à dos noirâtre,Ammodramus maritima nigrescens,,,1068
5511,CSSS,Cape Sable Seaside Sparrow,1B,Bruant de Cape Sable,Ammodramus maritimus mirabilis,Y,,1069
5520,LASP,Lark Sparrow,1B,Bruant à joues marron,Chondestes grammacus,,,1047
5530,HASP,Harris's Sparrow,1A,Bruant à face noire,Zonotrichia querula,,,1076
5540,UWCS,Unspecified White-crowned Sparrow,1B,Bruant à couronne blanche non-identifié,Zonotrichia leucophrys,,,1077
5541,EWCS,Eastern White-crowned Sparrow,1B,Bruant à couronne blanche (race de l'est),Zonotrichia leucophrys leucophrys,,,1078
5546,MWCS,Mountain White-crowned Sparrow,1B,Bruant à couronne blanche (race de montagne),Zonotrichia leucophrys oriantha,,,1079
5547,PSWS,Puget Sound White-crowned Sparrow,1B,Bruant à couronne blanche (race de Puget Sound),Zonotrichia leucophrys pugetensis,,,1080
5550,GWCS,Gambel's White-crowned Sparrow,1B,Bruant à couronne blanche (race de Gambel),Zonotrichia leucophrys gambelii,,,1081
5560,NWCS,Nuttall's White-crowned Sparrow,1B,Bruant à couronne blanche (race de Nuttall),Zonotrichia leucophrys nuttalli,,,1082
5570,GCSP,Golden-crowned Sparrow,"1B, 1A",Bruant à couronne dorée,Zonotrichia atricapilla,,,1083
5580,WTSP,White-throated Sparrow,1B,Bruant à gorge blanche,Zonotrichia albicollis,,,1075
5581,RUFS,Rufous-collared Sparrow,"1, 1B",Bruant chingolo,Zonotrichia capensis,,,1074
5586,ZSHY,Zonotrichia Sparrow Hybrid,1B,Hybride de bruant zonotrichia,,,"Report suspected parentage as a remark (e.g. Species1 x Species2). | Signalez les liens de parenté suspects dans le champs remarque (p. ex., Espèce1 x Espèce2).",1085
5590,ATSP,American Tree Sparrow,"1, 0, 1C",Bruant hudsonien,Spizelloides arborea,,,1039
5600,CHSP,Chipping Sparrow,"0, 0A, 1C, 1",Bruant familier,Spizella passerina,,,1040
5610,CCSP,Clay-colored Sparrow,"0, 0A, 1C, 1",Bruant des plaines,Spizella pallida,,,1041
5620,BRSP,Brewer's Sparrow,"0, 1C, 0A, 1",Bruant de Brewer,Spizella breweri,,,1042
5630,FISP,Field Sparrow,"0, 0A, 1C, 1",Bruant des champs,Spizella pusilla,,,1043
5640,WOSP,Worthen's Sparrow,"0, 0A",Bruant de Worthen,Spizella wortheni,,,1044
5650,BCSP,Black-chinned Sparrow,"0, 1C, 1",Bruant à menton noir,Spizella atrogularis,,,1045
5660,WWJU,White-winged Junco,"1, 0, 1C",Junco ardoisé à ailes blanches,Junco hyemalis aikeni,,,1084
5670,SCJU,Slate-colored Junco,"0, 1C, 1",Junco ardoisé,Junco hyemalis hyemalis,,,1086
5671,ORJU,Oregon Junco,"0, 1C, 1",Junco ardoisé à dos roux,Junco hyemalis oreganus,,,1087
5672,PSJU,Pink-sided Junco,"0, 1C, 1",Junco à flancs rosés,Junco hyemalis mearnsi,,,1088
5677,UDEJ,Unspecified Dark-eyed Junco,"0, 1C, 1",Junco ardoisé non identifié,Junco hyemalis,,To be used for Dark-eyed Juncos whose subspecies cannot be determined. | À utiliser pour les Juncos ardoisés dont la sous-espèce ne peut être déterminée.,1089
5690,GHJU,Gray-headed Junco,"1, 0, 1C",Junco ardoisé à tête grise,Junco hyemalis caniceps,,,1090
5700,YEJU,Yellow-eyed Junco,"1, 1C, 0",Junco aux yeux jaunes,Junco phaeonotus,,,1091
5730,BTSP,Black-throated Sparrow,"0, 1C, 1",Bruant à gorge noire,Amphispiza bilineata,,,1049
5740,USSP,Unidentified Sage Sparrow,"1, 1C",Bruant des armoises,,,Unspecified Artemisiospiza belli or A. nevadensis (not A. b. clementeae). Explain in Remarks why the unspecified code was chosen. | Artemisiospiza belli ou A. nevadensis (pas A. b. clementeae) non spécifié. Expliquez dans les Remarques pourquoi le code non identifié a été choisi.,1051
5741,SCBS,San Clemente Bell's Sparrow,1,,Artemisiospiza belli belli,Y,,1052
5742,FSSP,Five-striped Sparrow,1B,Bruant pentaligne,Amphispizopsis quinquestriata,,,1048
5743,SBSP,Sagebrush Sparrow,"1, 1C",Bruant des armoises,Artemisiospiza nevadensis,,AOU split from 5740 Sage Sparrow in 2014. | AOU l’a séparé de 5740 en 2014.,1050
5744,BESP,Bell's Sparrow,"1, 1C",Bruant de Bell,Artemisiospiza belli,,AOU split from 5740 Sage Sparrow in 2014. | AOU l’a séparé de 5740 en 2014.,1053
5750,BACS,Bachman's Sparrow,"1, 1C",Bruant des pinèdes,Peucaea aestivalis,,,1038
5760,BOSP,Botteri's Sparrow,"1, 1C",Bruant de Botteri,Peucaea botterii,,,1036
5780,CASP,Cassin's Sparrow,"1, 1C",Bruant de Cassin,Peucaea cassinii,,,1037
5790,RWSP,Rufous-winged Sparrow,"0, 1C, 1",Bruant à épaulettes,Peucaea carpalis,,,1035
5800,RCSP,Rufous-crowned Sparrow,"1, 1C, 1B",Tohi à calotte fauve,Aimophila ruficeps,,,1031
5810,SOSP,Song Sparrow,"1B, 1, 1C",Bruant chanteur,Melospiza melodia,,,1071
5830,LISP,Lincoln's Sparrow,"1, 0, 1C",Bruant de Lincoln,Melospiza lincolnii,,,1072
5840,SWSP,Swamp Sparrow,"1, 1C, 0",Bruant des marais,Melospiza georgiana,,,1073
5850,FOSP,Fox Sparrow,"1A, 1B",Bruant fauve,Passerella iliaca,,,1070
5860,OLSP,Olive Sparrow,"1B, 1, 1C",Tohi olive,Arremonops rufivirgatus,,,1024
5861,SAFI,Saffron Finch,"1B, 1",Sicale bouton-d'or,Sicalis flaveola,,,1023
5870,EATO,Eastern Towhee,"M: 2, 1D, 1A",Tohi à flancs roux,Pipilo erythrophthalmus,,AOU split from 5876 in 1998. | AOU l’a séparé de 5876 en 1998.,1027
,,,"F: 1A, 1D, 2",,,,,
5876,URST,Unidentified Rufous-sided Towhee,"2, 1A, 1D",Tohi à flancs roux non identifié,,,"Includes Pipilo erythrophthalmus and P. maculatus prior to split in 1998. Explain in Remarks why the unidentified code was chosen. | Comprend Pipilo erythrophthalmus et P. maculatus, avant leur séparation en 1998. Expliquez dans les Remarques pourquoi le code non identifié a été choisi.",1028
5880,SPTO,Spotted Towhee,"M: 1D, 2, 1A",Tohi tacheté,Pipilo maculatus,,AOU split from 5876 in 1998. | AOU l’a séparé de 5876 en 1998.,1026
,,,"F: 1D, 1A, 2",,,,,
5900,GTTO,Green-tailed Towhee,"1A, 1B, 1D",Tohi à queue verte,Pipilo chlorurus,,,1025
5906,HYTO,Hybrid Towhee,"1A, 1B",Hybride de Tohi,,,"Report suspected parentage as a remark (e.g. Species1 x Species2). | Signalez les liens de parenté suspects dans le champs remarque (p. ex., Espèce1 x Espèce2).",1029
5910,CANT,Canyon Towhee,"1A, 1D, 2",Tohi des canyons,Melozone fusca,,,1032
5911,CALT,California Towhee,"2, 1A, 1D",Tohi de Californie,Melozone crissalis,,,1033
5912,ICTO,Inyo California Towhee,"1D, 2, 1A",Tohi de Californie (eremophilus),Melozone crissalis eremophilus,Y,,1030
5920,ABTO,Abert's Towhee,"1A, 2, 1D",Tohi d'Abert,Melozone aberti,,,1034
5922,RCCA,Red-crested Cardinal,"1A, 1D, 2",Paroare huppé,Paroaria coronata,,,1003
5923,YBCA,Yellow-billed Cardinal,"1A, 1D",Paroare à bec jaune,Paroaria capitata,,,1004
5930,NOCA,Northern Cardinal,"1A, 2, 1D",Cardinal rouge,Cardinalis cardinalis,,,1102
5940,PYRR,Pyrrhuloxia,"1A, 1D",Cardinal pyrrhuloxia,Cardinalis sinuatus,,,1103
5950,RBGR,Rose-breasted Grosbeak,"1A, 1D, 2",Cardinal à poitrine rose,Pheucticus ludovicianus,,,1105
5960,BHGR,Black-headed Grosbeak,"1A, 1D, 2",Cardinal à tête noire,Pheucticus melanocephalus,,,1106
5961,YEGR,Yellow Grosbeak,"2, 1A, 1D",Cardinal jaune,Pheucticus chrysopeplus,,,1104
5970,BLGR,Blue Grosbeak,"1B, 1A",Guiraca bleu,Passerina caerulea,,,1108
5971,BLBU,Blue Bunting,"1, 1C",Évêque paré,Cyanocompsa parellina,,,1107
5980,INBU,Indigo Bunting,"1, 1C, 0",Passerin indigo,Passerina cyanea,,,1111
5986,ILBH,Indigo X Lazuli Bunting Hybrid,"1, 1C",Hybride de Passerin indigo et de Passerin azuré,,,Passerina cyanea X P. amoena. | Passerina cyanea X P. amoena.,1110
5990,LAZB,Lazuli Bunting,"1, 1C, 0",Passerin azuré,Passerina amoena,,,1109
6000,VABU,Varied Bunting,"1, 1C",Passerin varié,Passerina versicolor,,,1112
6010,PABU,Painted Bunting,"1, 1C",Passerin nonpareil,Passerina ciris,,,1113
6020,UWSE,Unidentified White-collared Seedeater,"0, 0A",Sporophile à col blanc,,,,1011
6021,PUEB,Puerto Rican Bullfinch,"1A, 1B",Sporophile de Porto Rico,Melopyrrha portoricensis,,,1019
6022,LESB,Lesser Antillean Bullfinch,"1, 1B",Sporophile rougegorge,Loxigilla noctis,,,1021
6023,MOSE,Morelet's Seedeater,"0, 0A",Sporophile de Morelet,Sporophila morelleti,,"From split of White-collared Seedeater, AOS 59th Supplement (2019)",1012
6024,CRSE,Cinnamon-rumped Seedeater,"0, 0A",Sporophile à col blanc,Sporophila torqueola,,"From split of White-collared Seedeater, AOS 59th Supplement (2019)",1013
6030,BFGR,Black-faced Grassquit,"0, 0A, 1C, 1",Sporophile cici,Melanospiza bicolor,,,1017
6031,CUGR,Cuban Grassquit,"0A, 0",Sporophile petit-chanteur,Phonipara canora,,,1015
6032,YFGR,Yellow-faced Grassquit,"0, 0A, 1C",Sporophile grand-chanteur,Tiaris olivaceus,,,1016
6040,DICK,Dickcissel,1B,Dickcissel d'Amérique,Spiza americana,,,1114
6050,LARB,Lark Bunting,1A,Bruant noir et blanc,Calamospiza melanocorys,Alberta,,1054
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
6061,ANEU,Antillean Euphonia,"0, 1C, 1",Organiste louis-d'or,Chlorophonia musica,,,1155
6070,WETA,Western Tanager,1B,Piranga à tête rouge,Piranga ludoviciana,,,1100
6071,FCTA,Flame-colored Tanager,"1A, 1B",Piranga à dos rayé,Piranga bidentata,,,1101
6080,SCTA,Scarlet Tanager,1B,Piranga écarlate,Piranga olivacea,,,1099
6090,HETA,Hepatic Tanager,1A,Piranga orangé,Piranga flava,,,1097
6100,SUTA,Summer Tanager,"1A, 1B",Piranga vermillon,Piranga rubra,,,1098
6101,WESP,Western Spindalis,"1B, 1A",Zéna à tête rayée,Spindalis zena,,,1006
6102,PRTA,Puerto Rican Tanager,"1A, 1B",Tangara de Porto Rico,Nesospingus speculiferus,,,1005
6103,HISP,Hispaniolan Spindalis,"1B, 1A",,Spindalis dominicensis,,,1007
6104,PRSP,Puerto Rican Spindalis,"1B, 1A",,Spindalis portoricensis,,,1008
6105,JAMS,Jamaican Spindalis,"1B, 1A",,Spindalis nigricephala,,,1009
6110,PUMA,Purple Martin,"1D, 1A, 2",Hirondelle noire,Progne subis,,,770
6112,GBMA,Gray-breasted Martin,1A,Hirondelle chalybée,Progne chalybea,,,772
6113,CAMA,Caribbean Martin,1A,Hirondelle à ventre blanc,Progne dominicensis,,,771
6120,CLSW,Cliff Swallow,"1, 1C",Hirondelle à front blanc,Petrochelidon pyrrhonota,,,778
6121,CASW,Cave Swallow,"1, 1C",Hirondelle à front brun,Petrochelidon fulva,,,779
6130,BARS,Barn Swallow,"1, 0",Hirondelle rustique,Hirundo rustica,Alberta,,780
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
6140,TRES,Tree Swallow,"1, 0, 1C",Hirondelle bicolore,Tachycineta bicolor,,,773
6150,VGSW,Violet-green Swallow,"1, 0, 1C",Hirondelle à face blanche,Tachycineta thalassina,,,774
6151,BAHS,Bahama Swallow,"0, 1, 1C",Hirondelle des Bahamas,Tachycineta cyaneoviridis,,,775
6160,BANS,Bank Swallow,"0, 1C, 1, 0A",Hirondelle de rivage,Riparia riparia,Alberta,,777
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
6170,NRWS,Northern Rough-winged Swallow,"0, 1C, 1, 0A",Hirondelle à ailes hérissées,Stelgidopteryx serripennis,,,776
6180,BOWA,Bohemian Waxwing,1A,Jaseur boréal,Bombycilla garrulus,,,917
6190,CEDW,Cedar Waxwing,1B,Jaseur d'Amérique,Bombycilla cedrorum,,,918
6200,PHAI,Phainopepla,1B,Phénopèple luisant,Phainopepla nitens,,,921
6210,NSHR,Northern Shrike,"2, 1D",Pie-grièche grise,Lanius borealis,,,715
6211,BRSH,Brown Shrike,"1B, 1A",Pie-grièche brune,Lanius cristatus,,,712
6220,LOSH,Loggerhead Shrike,"1D, 1A, 2",Pie-grièche migratrice,Lanius ludovicianus,Alberta,,713
,,,,,,Manitoba,,
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
6221,KAOO,Kauai Oo,2,Moho de Kauai,Moho braccatus,Y,,919
6223,BIOO,Bishop's Oo,3,Moho de Bishop,Moho bishopi,Y,,920
6226,WAWE,Warbling White-eye,"0A, 0",Zostérops du Japon,Zosterops japonicus,,,834
6227,SLSH,San Clemente Loggerhead Shrike,"1D, 1A, 2",Pie-grièche migratrice (mearnsi),Lanius ludovicianus mearnsi,Y,,714
6230,BWVI,Black-whiskered Vireo,"1, 1C",Viréo à moustaches,Vireo altiloquus,,,734
6240,REVI,Red-eyed Vireo,"1C, 1, 0",Viréo aux yeux rouges,Vireo olivaceus,,,732
6250,YGVI,Yellow-green Vireo,"1, 1C, 0",Viréo jaune-verdâtre,Vireo flavoviridis,,,733
6260,PHVI,Philadelphia Vireo,"0, 0A",Viréo de Philadelphie,Vireo philadelphicus,,,731
6270,WAVI,Warbling Vireo,"0, 1C, 1",Viréo mélodieux,Vireo gilvus,,,730
6280,YTVI,Yellow-throated Vireo,"1C, 1",Viréo à gorge jaune,Vireo flavifrons,,,724
6290,BHVI,Blue-headed Vireo,"1C, 1, 0",Viréo à tête bleue,Vireo solitarius,,AOU split from 6299-SOVI in 1998. | AOU l’a séparé de 6299-SOVI en 1998.,727
6291,PLVI,Plumbeous Vireo,"1C, 1, 0",Viréo plombé,Vireo plumbeus,,AOU split from 6299-SOVI in 1998. | AOU l’a séparé de 6299-SOVI en 1998.,725
6292,CAVI,Cassin's Vireo,"1C, 1, 0",Viréo de Cassin,Vireo cassinii,,AOU split from 6299-SOVI in 1998. | AOU l’a séparé de 6299-SOVI en 1998.,726
6299,SOVI,Solitary Vireo,"1C, 1, 0",Viréo à tête bleue (espèce non identifiée),,,"Includes Vireo solitarius, V. plumbeus, and V. cassinii, prior to split in 1998. Explain in Remarks why the unspecified code was chosen. | Comprend Vireo solitarius, V. plumbeus et V. cassinii, avant leur séparation en 1998. Expliquez dans les Remarques pourquoi le code non identifié a été choisi.",728
6300,BCVI,Black-capped Vireo,"0, 1C, 0A, 1",Viréo à tête noire,Vireo atricapilla,,,722
6310,WEVI,White-eyed Vireo,"0, 0A",Viréo aux yeux blancs,Vireo griseus,,,716
6320,HUVI,Hutton's Vireo,0,Viréo de Hutton,Vireo huttoni,,,729
6330,BEVI,Bell's Vireo,0,Viréo de Bell,Vireo bellii,,,720
6331,PRVI,Puerto Rican Vireo,"0, 1, 1C",Viréo de Porto Rico,Vireo latimeri,,,719
6334,LBVI,Least Bell's Vireo,"0, 0A",Viréo de Bell (forme minime),Vireo bellii pusillus,Y,,721
6340,GRVI,Gray Vireo,"1, 1C",Viréo gris,Vireo vicinior,,,723
6350,BANA,Bananaquit,"0, 0A, 1C, 1",Sucrier à ventre jaune,Coereba flaveola,,,1002
6360,BAWW,Black-and-white Warbler,"0, 0A, 1C, 1",Paruline noir et blanc,Mniotilta varia,,,938
6366,HYWA,Hybrid Warbler,"0, 0A, 1",Hybride de paruline,,,"Report suspected parentage as a remark (e.g. Species1 x Species2). | Signalez les liens de parenté suspects dans le champs remarque (p. ex., Espèce1 x Espèce2).",1001
6370,PROW,Prothonotary Warbler,0,Paruline orangée,Protonotaria citrea,Ontario,,939
